Folder,Sub-folder,List Name,List ID,Tier,Role,Notes
Channel Partner Events,Crush Security,Crush Security - CISO Live Fire - ATL - 07/31/26 - Attendees,1310,Channel,event_count,
Channel Partner Events,Crush Security,Crush Security - CISO Live Fire - TX - 06/30/26 - Attendees,1034,Channel,event_count,
Channel Partner Events,Crush Security,Crush Security - CISO Live Fire - AZ - 06/08/26 - Attendees,969,Channel,event_count,
Channel Partner Events,Evotek,Evotek - LVK Game - LV - 05/29/26 - Attendees,930,Channel,event_count,
Channel Partner Events,Evotek,Evotek - 04/13/26 - Attendees,726,Channel,event_count,
Channel Partner Events,GuidePoint Security,GuidePoint - Tigers vs. Yankees Game - 06/30/26 - Attendees,1042,Channel,event_count,
Channel Partner Events,Intezer,Intezer - AI SOC Live - 04/28/26 - Contacts,863,Channel,event_count,
Channel Partner Events,CyberOne,CyberOne - TAO Dinner (After CISO XC) - CHI - 07/17/26 - Attendees,1128,Channel,event_count,
CISO Society,—,CISO Society - HTX - 06/17/26 - Attendees,984,General,event_count,
CISO Society,—,CISO Society - DEN - 05/26 - Attendees,932,General,event_count,
CISOExecNet,—,CISOExecNet - Mid-West - 04/27/26 - Attendees,857,General,event_count,
CISOExecNet,—,CISOExecNet - NE - 04/15/26 - Attendees,802,General,event_count,
CISOExecNet,—,CISOExecNet - ATX - 04/10/26 - Attendees,724,General,event_count,
CISOExecNet,—,CISOExecNet - Virtual Event - 12/08/25 - Attendees,120,General,event_count,
CISOExecNet,—,CISOExecNet - PIT - 04/20/26 - Attendees,809,General,event_count,
CyAlliance,CyAlliance Post-Event,CyAlliance - In-Person Event - RSA - 03/30/26 - Contacts,636,General,event_count,
CyAlliance,CyAlliance Post-Event,CyAlliance - In-Person Event - ATL - 03/14/26 - Contacts,481,General,event_count,
CyAlliance,CyAlliance Post-Event,CyAlliance - In-Person Event - ATX - 02/24/26 - Contacts,369,General,event_count,
CyAlliance,CyAlliance Post-Event,CyAlliance - In-Person Event - DFW - 02/20/26 - Contacts,362,General,event_count,
CyAlliance,CyAlliance Post-Event,CyAlliance - Virtual Event - 02/11/26 - Contacts,321,General,event_count,
CyAlliance,CyAlliance Post-Event,CyAlliance - Virtual Event - 01/09/26 - Contacts,151,General,event_count,
IANS,IANS - MPLS - 05/12/26,IANS - MPLS - 05/12/26 - Technology Spotlight Attendees,892,,high_engagement,
IANS,IANS - MPLS - 05/12/26,IANS - MPLS - 05/12/26 - Tabletop Visitors,891,,high_engagement,
IANS,IANS - MPLS - 05/12/26,IANS - MPLS - 05/12/26 - Attendees,890,General,event_count,
IANS,IANS - PHL - 05/20/26,IANS - PHL - 05/20/26 - Technology Spotlight Attendees,914,,high_engagement,
IANS,IANS - PHL - 05/20/26,IANS - PHL - 05/20/26 - Tabletop Visitors,912,,high_engagement,
IANS,IANS - PHL - 05/20/26,IANS - PHL - 05/20/26 - Attendees,911,General,event_count,
Trade Shows,Cybersecurity Summit - 2025,Cybersecurity Summit - NYC - 11/19/25 - Attendees,107,General,event_count,
Trade Shows,Cybersecurity Summit - 2025,Cybersecurity Summit - NYC - 11/19/25 - Booth Visitors,104,,high_engagement,
Trade Shows,Cybersecurity Summit - 2025,Cybersecurity Summit - BOS - 10/20/25 - Attendees,78,General,event_count,
Trade Shows,Cybersecurity Summit - 2025,Cybersecurity Summit - BOS - 10/20/25 - Booth Visitors,73,,high_engagement,
Trade Shows,Gartner Security Summit,Gartner Security Summit - 06/04/26 - Contacts,962,General,event_count,
Trade Shows,Blackhat,Blackhat - CyberOne Event - 08/26 - Contacts,1304,Channel,event_count,"OVERRIDE: host/folder is Blackhat, but this is a CyberOne-hosted partner dinner -- Channel per confirmation"
Trade Shows,FutureCon - BOS - 11/21/25,FutureCon - BOS - 11/21/25 - Attendees,117,General,event_count,
Trade Shows,FutureCon - BOS - 11/21/25,FutureCon - BOS - 11/21/25 - Booth Visitors,113,,high_engagement,
Trade Shows,—,RSAC - 03/31/26 - Attendees,640,General,event_count,
Trade Show,—,SecureWorld - TopGolf - PHL - 05/12/26 - Attendees,889,General,event_count,
CISO XC,—,CISO XC - CHI - 07/17/26 - Attendees,1127,General,event_count,
CISO XC,—,CISO XC - ATL - 11/11/25 - Attendees,94,General,event_count,
CISO XC,—,CISO XC - ATL - 11/11/25 - Booth Visitors,90,,high_engagement,
—,—,7AI - Tech Week - BOS - 06/01/26 - Attendees,937,General,event_count,
—,—,Secure the Dish - 06/09/26 - Attendees,973,General,event_count,
—,—,CISO Dinner - 10/25 - Attendees,63,General,event_count,
—,—,IT Security Leaders Lunch - NE - 09/25 - Attendees,65,General,event_count,
